Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	01/15/2026 	_x86_64_	(64 CPU)

03:09:44 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:09:58 PM 100998   3372236    0.00    0.00    0.00    0.00    0.00     5  postgres
03:09:58 PM 100998   3373170    1.00    1.00    0.00    0.00    2.00     4  postgres
03:09:58 PM 100998   3373180    1.00    0.00    0.00    0.00    1.00     6  postgres
03:09:58 PM 100998   3373182    1.00    0.00    0.00    0.00    1.00     4  postgres
03:09:58 PM 100998   3373183    1.00    0.00    0.00    0.00    1.00     4  postgres
03:09:58 PM 100998   3373184    1.00    0.00    0.00    0.00    1.00     4  postgres
03:09:58 PM 100998   3373186    1.00    1.00    0.00    0.00    2.00     6  postgres
03:09:58 PM 100998   3373187    0.00    1.00    0.00    0.00    1.00     5  postgres
03:09:58 PM 100998   3373188    1.00    0.00    0.00    0.00    1.00     6  postgres
03:09:58 PM 100998   3373189    1.00    0.00    0.00    0.00    1.00     4  postgres
03:09:58 PM 100998   3373190    1.00    0.00    0.00    0.00    1.00     6  postgres
03:09:58 PM 100998   3373191    1.00    0.00    0.00    0.00    1.00     4  postgres
03:09:58 PM 100998   3373192    1.00    0.00    0.00    0.00    1.00     6  postgres
03:09:58 PM 100998   3373194    1.00    0.00    0.00    0.00    1.00     6  postgres
03:09:58 PM 100998   3373195    1.00    1.00    0.00    0.00    2.00     6  postgres
03:09:58 PM 100998   3373198    0.00    1.00    0.00    0.00    1.00     5  postgres
03:09:58 PM 100998   3373200    0.00    1.00    0.00    0.00    1.00     6  postgres
03:09:58 PM 100998   3373202    1.00    1.00    0.00    0.00    2.00     5  postgres
03:09:58 PM 100998   3373204    1.00    1.00    0.00    0.00    2.00     6  postgres
03:09:58 PM 100998   3373213    0.00    0.00    0.00    0.00    0.00     4  postgres
03:09:58 PM 100998   3373239    0.00    1.00    0.00    0.00    1.00     4  postgres

03:09:58 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:09:59 PM 100998   3372232    0.00    0.00    0.00    0.00    0.00     4  postgres
03:09:59 PM 100998   3372233    0.00    0.00    0.00    0.00    0.00     5  postgres
03:09:59 PM 100998   3372235    0.00    0.00    0.00    0.00    0.00     4  postgres
03:09:59 PM 100998   3372236    0.00    0.00    0.00    0.00    0.00     5  postgres
03:09:59 PM 100998   3373170    1.00    0.00    0.00    0.00    1.00     4  postgres
03:09:59 PM 100998   3373180    1.00    1.00    0.00    0.00    2.00     4  postgres
03:09:59 PM 100998   3373182    0.00    1.00    0.00    0.00    1.00     4  postgres
03:09:59 PM 100998   3373183    0.00    0.00    0.00    0.00    0.00     6  postgres
03:09:59 PM 100998   3373184    1.00    1.00    0.00    0.00    2.00     4  postgres
03:09:59 PM 100998   3373186    1.00    1.00    0.00    0.00    2.00     4  postgres
03:09:59 PM 100998   3373187    1.00    1.00    0.00    0.00    2.00     5  postgres
03:09:59 PM 100998   3373188    1.00    1.00    0.00    0.00    2.00     6  postgres
03:09:59 PM 100998   3373189    1.00    1.00    0.00    0.00    2.00     6  postgres
03:09:59 PM 100998   3373190    1.00    1.00    0.00    0.00    2.00     6  postgres
03:09:59 PM 100998   3373191    1.00    1.00    0.00    0.00    2.00     4  postgres
03:09:59 PM 100998   3373192    1.00    0.00    0.00    0.00    1.00     4  postgres
03:09:59 PM 100998   3373194    1.00    1.00    0.00    0.00    2.00     6  postgres
03:09:59 PM 100998   3373195    0.00    0.00    0.00    0.00    0.00     4  postgres
03:09:59 PM 100998   3373198    1.00    0.00    0.00    0.00    1.00     5  postgres
03:09:59 PM 100998   3373200    1.00    0.00    0.00    0.00    1.00     6  postgres
03:09:59 PM 100998   3373202    1.00    1.00    0.00    0.00    2.00     5  postgres
03:09:59 PM 100998   3373204    0.00    0.00    0.00    0.00    0.00     6  postgres
03:09:59 PM 100998   3373213    1.00    1.00    0.00    0.00    2.00     6  postgres
03:09:59 PM 100998   3373239    1.00    0.00    0.00    0.00    1.00     6  postgres

03:09:59 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:10:00 PM 100998   3372232    0.00    0.00    0.00    0.00    0.00     4  postgres
03:10:00 PM 100998   3372233    0.00    0.00    0.00    0.00    0.00     5  postgres
03:10:00 PM 100998   3372235    0.00    0.00    0.00    0.00    0.00     4  postgres
03:10:00 PM 100998   3372236    0.00    0.00    0.00    0.00    0.00     5  postgres
03:10:00 PM 100998   3373170    0.00    1.00    0.00    0.00    1.00     6  postgres
03:10:00 PM 100998   3373180    1.00    0.00    0.00    0.00    1.00     4  postgres
03:10:00 PM 100998   3373182    1.00    0.00    0.00    0.00    1.00     6  postgres
03:10:00 PM 100998   3373183    1.00    0.00    0.00    0.00    1.00     6  postgres
03:10:00 PM 100998   3373184    0.00    0.00    0.00    0.00    0.00     6  postgres
03:10:00 PM 100998   3373186    1.00    0.00    0.00    0.00    1.00     6  postgres
03:10:00 PM 100998   3373187    1.00    0.00    0.00    0.00    1.00     5  postgres
03:10:00 PM 100998   3373188    0.00    0.00    0.00    0.00    0.00     6  postgres
03:10:00 PM 100998   3373189    1.00    0.00    0.00    0.00    1.00     4  postgres
03:10:00 PM 100998   3373190    0.00    0.00    0.00    0.00    0.00     4  postgres
03:10:00 PM 100998   3373191    0.00    0.00    0.00    0.00    0.00     4  postgres
03:10:00 PM 100998   3373192    0.00    1.00    0.00    0.00    1.00     4  postgres
03:10:00 PM 100998   3373194    0.00    0.00    0.00    0.00    0.00     4  postgres
03:10:00 PM 100998   3373195    1.00    1.00    0.00    0.00    2.00     4  postgres
03:10:00 PM 100998   3373198    1.00    1.00    0.00    0.00    2.00     5  postgres
03:10:00 PM 100998   3373200    0.00    1.00    0.00    0.00    1.00     6  postgres
03:10:00 PM 100998   3373202    0.00    1.00    0.00    0.00    1.00     5  postgres
03:10:00 PM 100998   3373204    1.00    1.00    0.00    0.00    2.00     6  postgres
03:10:00 PM 100998   3373213    1.00    0.00    0.00    0.00    1.00     4  postgres
03:10:00 PM 100998   3373239    1.00    0.00    0.00    0.00    1.00     4  postgres

03:10:00 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:10:01 PM 100998   3372232    0.00    0.00    0.00    0.00    0.00     4  postgres
03:10:01 PM 100998   3372233    0.00    0.00    0.00    0.00    0.00     5  postgres
03:10:01 PM 100998   3372235    0.00    0.00    0.00    0.00    0.00     4  postgres
03:10:01 PM 100998   3372236    0.00    0.00    0.00    0.00    0.00     5  postgres
03:10:01 PM 100998   3373170    1.00    0.00    0.00    0.00    1.00     4  postgres
03:10:01 PM 100998   3373180    1.00    0.00    0.00    0.00    1.00     4  postgres
03:10:01 PM 100998   3373182    0.00    1.00    0.00    0.00    1.00     4  postgres
03:10:01 PM 100998   3373183    1.00    1.00    0.00    0.00    2.00     4  postgres
03:10:01 PM 100998   3373184    1.00    1.00    0.00    0.00    2.00     6  postgres
03:10:01 PM 100998   3373186    0.00    1.00    0.00    0.00    1.00     6  postgres
03:10:01 PM 100998   3373187    1.00    1.00    0.00    0.00    2.00     5  postgres
03:10:01 PM 100998   3373188    1.00    1.00    0.00    0.00    2.00     4  postgres
03:10:01 PM 100998   3373189    0.00    1.00    0.00    0.00    1.00     6  postgres
03:10:01 PM 100998   3373190    1.00    1.00    0.00    0.00    2.00     6  postgres
03:10:01 PM 100998   3373191    1.00    1.00    0.00    0.00    2.00     6  postgres
03:10:01 PM 100998   3373192    1.00    0.00    0.00    0.00    1.00     6  postgres
03:10:01 PM 100998   3373194    1.00    1.00    0.00    0.00    2.00     6  postgres
03:10:01 PM 100998   3373195    1.00    0.00    0.00    0.00    1.00     4  postgres
03:10:01 PM 100998   3373198    0.00    0.00    0.00    0.00    0.00     5  postgres
03:10:01 PM 100998   3373200    0.00    0.00    0.00    0.00    0.00     6  postgres
03:10:01 PM 100998   3373202    1.00    0.00    0.00    0.00    1.00     5  postgres
03:10:01 PM 100998   3373204    1.00    0.00    0.00    0.00    1.00     4  postgres
03:10:01 PM 100998   3373213    0.00    1.00    0.00    0.00    1.00     4  postgres
03:10:01 PM 100998   3373239    0.00    0.00    0.00    0.00    0.00     4  postgres

03:10:01 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:10:02 PM 100998   3372232    0.00    0.00    0.00    0.00    0.00     4  postgres
03:10:02 PM 100998   3372233    0.00    0.00    0.00    0.00    0.00     5  postgres
03:10:02 PM 100998   3372235    0.00    0.00    0.00    0.00    0.00     4  postgres
03:10:02 PM 100998   3372236    0.00    0.00    0.00    0.00    0.00     5  postgres
03:10:02 PM 100998   3373170    1.00    1.00    0.00    0.00    2.00     6  postgres
03:10:02 PM 100998   3373180    0.00    1.00    0.00    0.00    1.00     6  postgres
03:10:02 PM 100998   3373182    1.00    1.00    0.00    0.00    2.00     4  postgres
03:10:02 PM 100998   3373183    0.00    0.00    0.00    0.00    0.00     4  postgres
03:10:02 PM 100998   3373184    1.00    1.00    0.00    0.00    2.00     6  postgres
03:10:02 PM 100998   3373186    1.00    0.00    0.00    0.00    1.00     4  postgres
03:10:02 PM 100998   3373187    0.00    0.00    0.00    0.00    0.00     5  postgres
03:10:02 PM 100998   3373188    0.00    0.00    0.00    0.00    0.00     6  postgres
03:10:02 PM 100998   3373189    1.00    0.00    0.00    0.00    1.00     6  postgres
03:10:02 PM 100998   3373190    1.00    0.00    0.00    0.00    1.00     4  postgres
03:10:02 PM 100998   3373191    0.00    0.00    0.00    0.00    0.00     6  postgres
03:10:02 PM 100998   3373192    0.00    0.00    0.00    0.00    0.00     6  postgres
03:10:02 PM 100998   3373194    1.00    0.00    0.00    0.00    1.00     6  postgres
03:10:02 PM 100998   3373195    1.00    0.00    0.00    0.00    1.00     4  postgres
03:10:02 PM 100998   3373198    1.00    1.00    0.00    0.00    2.00     5  postgres
03:10:02 PM 100998   3373200    1.00    1.00    0.00    0.00    2.00     6  postgres
03:10:02 PM 100998   3373202    0.00    1.00    0.00    0.00    1.00     4  postgres
03:10:02 PM 100998   3373204    1.00    0.00    0.00    0.00    1.00     6  postgres
03:10:02 PM 100998   3373213    1.00    1.00    0.00    0.00    2.00     4  postgres
03:10:02 PM 100998   3373239    0.00    1.00    0.00    0.00    1.00     4  postgres

03:10:02 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:10:03 PM 100998   3372232    0.00    0.00    0.00    0.00    0.00     4  postgres
03:10:03 PM 100998   3372233    0.00    0.00    0.00    0.00    0.00     5  postgres
03:10:03 PM 100998   3372235    0.00    0.00    0.00    0.00    0.00     4  postgres
03:10:03 PM 100998   3372236    0.00    0.00    0.00    0.00    0.00     5  postgres
03:10:03 PM 100998   3373170    1.00    0.00    0.00    0.00    1.00     4  postgres
03:10:03 PM 100998   3373180    1.00    0.00    0.00    0.00    1.00     6  postgres
03:10:03 PM 100998   3373182    1.00    1.00    0.00    0.00    2.00     4  postgres
03:10:03 PM 100998   3373183    1.00    0.00    0.00    0.00    1.00     6  postgres
03:10:03 PM 100998   3373184    1.00    0.00    0.00    0.00    1.00     6  postgres
03:10:03 PM 100998   3373186    1.00    1.00    0.00    0.00    2.00     4  postgres
03:10:03 PM 100998   3373187    1.00    1.00    0.00    0.00    2.00     5  postgres
03:10:03 PM 100998   3373188    1.00    1.00    0.00    0.00    2.00     4  postgres
03:10:03 PM 100998   3373189    1.00    1.00    0.00    0.00    2.00     6  postgres
03:10:03 PM 100998   3373190    1.00    0.00    0.00    0.00    1.00     6  postgres
03:10:03 PM 100998   3373191    1.00    1.00    0.00    0.00    2.00     6  postgres
03:10:03 PM 100998   3373192    1.00    1.00    0.00    0.00    2.00     6  postgres
03:10:03 PM 100998   3373194    1.00    1.00    0.00    0.00    2.00     4  postgres
03:10:03 PM 100998   3373195    1.00    0.00    0.00    0.00    1.00     6  postgres
03:10:03 PM 100998   3373198    0.00    1.00    0.00    0.00    1.00     5  postgres
03:10:03 PM 100998   3373200    0.00    0.00    0.00    0.00    0.00     6  postgres
03:10:03 PM 100998   3373202    1.00    1.00    0.00    0.00    2.00     6  postgres
03:10:03 PM 100998   3373204    0.00    1.00    0.00    0.00    1.00     4  postgres
03:10:03 PM 100998   3373213    0.00    0.00    0.00    0.00    0.00     4  postgres
03:10:03 PM 100998   3373239    1.00    0.00    0.00    0.00    1.00     6  postgres

03:10:03 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:10:04 PM 100998   3372232    0.00    0.00    0.00    0.00    0.00     4  postgres
03:10:04 PM 100998   3372233    0.00    0.00    0.00    0.00    0.00     5  postgres
03:10:04 PM 100998   3372235    0.00    0.00    0.00    0.00    0.00     4  postgres
03:10:04 PM 100998   3372236    0.00    0.00    0.00    0.00    0.00     5  postgres
03:10:04 PM 100998   3373170    1.00    1.00    0.00    0.00    2.00     4  postgres
03:10:04 PM 100998   3373180    1.00    1.00    0.00    0.00    2.00     6  postgres
03:10:04 PM 100998   3373182    0.00    0.00    0.00    0.00    0.00     6  postgres
03:10:04 PM 100998   3373183    1.00    0.00    0.00    0.00    1.00     6  postgres
03:10:04 PM 100998   3373184    1.00    1.00    0.00    0.00    2.00     6  postgres
03:10:04 PM 100998   3373186    1.00    0.00    0.00    0.00    1.00     4  postgres
03:10:04 PM 100998   3373187    1.00    1.00    0.00    0.00    2.00     5  postgres
03:10:04 PM 100998   3373188    1.00    0.00    0.00    0.00    1.00     6  postgres
03:10:04 PM 100998   3373189    2.00    0.00    0.00    0.00    2.00     4  postgres
03:10:04 PM 100998   3373190    1.00    1.00    0.00    0.00    2.00     4  postgres
03:10:04 PM 100998   3373191    1.00    0.00    0.00    0.00    1.00     4  postgres
03:10:04 PM 100998   3373192    0.00    1.00    0.00    0.00    1.00     6  postgres
03:10:04 PM 100998   3373194    1.00    0.00    0.00    0.00    1.00     6  postgres
03:10:04 PM 100998   3373195    0.00    1.00    0.00    0.00    1.00     4  postgres
03:10:04 PM 100998   3373198    1.00    1.00    0.00    0.00    2.00     5  postgres
03:10:04 PM 100998   3373200    1.00    0.00    0.00    0.00    1.00     6  postgres
03:10:04 PM 100998   3373202    1.00    0.00    0.00    0.00    1.00     6  postgres
03:10:04 PM 100998   3373204    1.00    1.00    0.00    0.00    2.00     4  postgres
03:10:04 PM 100998   3373213    1.00    1.00    0.00    0.00    2.00     4  postgres
03:10:04 PM 100998   3373239    1.00    0.00    0.00    0.00    1.00     4  postgres

03:10:04 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:10:05 PM 100998   3372232    0.00    0.00    0.00    0.00    0.00     4  postgres
03:10:05 PM 100998   3372233    0.00    0.00    0.00    0.00    0.00     5  postgres
03:10:05 PM 100998   3372235    0.00    0.00    0.00    0.00    0.00     4  postgres
03:10:05 PM 100998   3372236    0.00    0.00    0.00    0.00    0.00     5  postgres
03:10:05 PM 100998   3373170    2.00    1.00    0.00    0.00    3.00     4  postgres
03:10:05 PM 100998   3373180    1.00    1.00    0.00    0.00    2.00     5  postgres
03:10:05 PM 100998   3373182    2.00    1.00    0.00    0.00    3.00     4  postgres
03:10:05 PM 100998   3373183    1.00    1.00    0.00    0.00    2.00     4  postgres
03:10:05 PM 100998   3373184    1.00    2.00    0.00    0.00    3.00     6  postgres
03:10:05 PM 100998   3373186    1.00    1.00    0.00    0.00    2.00     6  postgres
03:10:05 PM 100998   3373187    0.00    1.00    0.00    0.00    1.00     5  postgres
03:10:05 PM 100998   3373188    0.00    1.00    0.00    0.00    1.00     4  postgres
03:10:05 PM 100998   3373189    1.00    1.00    0.00    0.00    2.00     4  postgres
03:10:05 PM 100998   3373190    1.00    1.00    0.00    0.00    2.00     4  postgres
03:10:05 PM 100998   3373191    1.00    1.00    0.00    0.00    2.00     4  postgres
03:10:05 PM 100998   3373192    1.00    0.00    0.00    0.00    1.00     4  postgres
03:10:05 PM 100998   3373194    2.00    1.00    0.00    0.00    3.00     6  postgres
03:10:05 PM 100998   3373195    1.00    1.00    0.00    0.00    2.00     6  postgres
03:10:05 PM 100998   3373198    1.00    1.00    0.00    0.00    2.00     5  postgres
03:10:05 PM 100998   3373200    1.00    1.00    0.00    0.00    2.00     6  postgres
03:10:05 PM 100998   3373202    1.00    1.00    0.00    1.00    2.00     4  postgres
03:10:05 PM 100998   3373204    1.00    0.00    0.00    0.00    1.00     6  postgres
03:10:05 PM 100998   3373213    1.00    0.00    0.00    0.00    1.00     4  postgres
03:10:05 PM 100998   3373239    0.00    1.00    0.00    0.00    1.00     6  postgres

03:10:05 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:10:06 PM 100998   3372232    0.00    0.00    0.00    0.00    0.00     4  postgres
03:10:06 PM 100998   3372233    0.00    0.00    0.00    0.00    0.00     5  postgres
03:10:06 PM 100998   3372235    0.00    0.00    0.00    0.00    0.00     4  postgres
03:10:06 PM 100998   3372236    0.00    0.00    0.00    0.00    0.00     5  postgres
